,Level,Node,Selected features
0,Kingdom,Chemical entities,"C, O, P, N, S, K, Na, Li, Cs, Ca, Mg, Be, Sr, Tb, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ti, W, Ni, V, Ag, Hg, Cd, Au, Ru, Pd, Pt, Zn, Os, Cl, I, F, Br, He, Ar, Se, Sn, Tl, Pb, Xe, Tc, At, In, Ne, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, Actinoids, O/C, H/C, P/C, N/P"
1,Superclass,Inorganic compounds,"C, O, P, N, S, Th, Cm, K, Na, Rb, Li, Cs, Fr, Ca, Mg, Be, Sr, Ba, Ce, La, Nd, Gd, Sm, Eu, Lu, Pr, Tb, Ho, Tm, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ti, W, Ni, V, Ag, Hg, Cd, Au, Ta, Y, Ru, Pd, Pt, Re, Zn, Nb, Os, Ir, Cl, I, F, Br, He, Ar, Se, Ga, Sn, Tl, Pb, Xe, Pu, U, Tc, At, In, Po, Ne, Ac, Rf, Rh, Pm, Yb, Np, Bk, Es, Fm, Md, No, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, Actinoids, O/C, H/C, N/P"
2,Superclass,Organic compounds,"C, O, P, N, S, K, Na, Li, Ca, Mg, Gd, Te, Si, As, B, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Ti, W, Ni, V, Hg, Au, Pt, Zn, Cl, I, F, Br, Se, Sn, Pb, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, O/C, H/C, P/C, N/P"
3,Superclass (binary classifiers),Homogeneous metal compounds,"C, O, P, N, S, Th, Cm, K, Na, Rb, Li, Cs, Fr, Ca, Mg, Be, Sr, Ba, Ce, La, Nd, Gd, Sm, Eu, Lu, Pr, Tb, Ho, Tm, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ti, W, Ni, V, Ag, Hg, Cd, Au, Ta, Y, Ru, Pt, Re, Zn, Nb, Os, Ir, Cl, I, F, Br, He, Ar, Se, Ga, Sn, Tl, Pb, Xe, Pu, U, Tc, At, In, Po, Ne, Ac, Rf, Rh, Pm, Yb, Np, Bk, Es, Fm, Md, No, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, Actinoids, O/C, H/C, N/P"
4,Superclass (binary classifiers),Homogeneous non-metal compounds,"C, O, P, N, S, Th, Cm, K, Na, Rb, Li, Cs, Ca, Mg, Be, Sr, Ba, Ce, La, Nd, Gd, Sm, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ti, W, Ni, V, Ag, Hg, Cd, Au, Y, Ru, Pd, Pt, Zn, Nb, Os, Ir, Cl, I, F, Br, He, Ar, Se, Ga, Sn, Tl, Pb, Xe, Pu, U, Tc, At, In, Po, Ne, Rh, Np, Bk, Es, Fm, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, Actinoids, O/C, H/C, N/P"
5,Superclass (binary classifiers),Miscellaneous inorganic compounds,"C, O, P, N, S, K, Na, Li, Ca, Mg, Be, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, W, Ni, V, Hg, Au, Pt, Re, Zn, Os, Cl, I, F, Br, He, Se, Ga, Pb, Xe, At, In, Rf, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, Actinoids, O/C, H/C, N/P"
6,Superclass (binary classifiers),Mixed metal/non-metal compounds,"C, O, P, N, S, Th, Cm, K, Na, Rb, Li, Cs, Fr, Ca, Mg, Be, Sr, Ba, Ce, La, Nd, Gd, Sm, Eu, Lu, Pr, Tb, Ho, Tm, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ti, W, Ni, V, Ag, Hg, Cd, Au, Ta, Y, Ru, Pd, Pt, Re, Zn, Nb, Os, Ir, Cl, I, F, Br, He, Ar, Se, Ga, Sn, Tl, Pb, Xe, Pu, U, Tc, At, In, Po, Ne, Ac, Rf, Rh, Pm, Yb, Np, Bk, Es, Fm, Md, No, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, Actinoids, O/C, H/C, N/P"
7,Superclass (binary classifiers),Acetylides,"C, O, P, N, S, K, Na, Li, Ca, Mg, Te, Si, As, B, Fe, Ni, Hg, Au, Zn, Cl, I, F, Br, Se, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
8,Superclass (binary classifiers),Alkaloids and derivatives,"C, O, P, N, S, K, Na, Mg, Si, As, B, Co, Fe, Ni, Ru, Pd, Pt, Zn, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
9,Superclass (binary classifiers),Allenes,"C, O, P, N, S, Na, Li, Te, Si, Ni, Zn, Cl, I, F, Br, Se, Sn, Pb, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C"
10,Superclass (binary classifiers),Benzenoids,"C, O, P, N, S, K, Na, Li, Ca, Mg, Ba, Eu, Te, Si, As, B, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Ni, Hg, Ru, Pt, Zn, Cl, I, F, Br, Se, Sn, Pb, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, O/C, H/C, P/C, N/P"
11,Superclass (binary classifiers),Hydrocarbon derivatives,"C, O, P, N, S, K, Na, Li, Ca, Mg, Si, As, B, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ti, W, Ni, V, Ag, Hg, Au, Ru, Zn, Cl, I, F, Br, Se, Sn, Pb, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Actinoids, O/C, H/C, P/C, N/P"
