Level,Classifier,RF (Feature Selection),RF (class_weight),RF (criterion),RF (max_features),KNN (Feature Selection),KNN (n_neighbors),KNN (weights),KNN (metric),LR (Feature Selection),LR (penalty),LR (C),LR (l1_ratio),LR (fit_intercept),LR (class_weight),LR (solver),LR (multi_class),SVM (Feature Selection),SVM (penalty),SVM (C),SVM (class_weight),NB (Feature Selection),NB (alpha),NB (norm)
Kingdom,Chemical entities,No,balanced,entropy,80,No,27,distance,manhattan,No,l1,0.1,,False,None,saga,ovr,No,l2,10.0,None,No,10.0,False
Superclass,Inorganic compounds,No,balanced,gini,20,No,3,uniform,cosine,No,l1,100.0,,False,balanced,saga,multinomial,No,l1,100.0,balanced,No,0.1,False
Superclass,Organic compounds,Yes,None,gini,1,No,7,distance,manhattan,No,none,,,False,None,sag,multinomial,No,l1,100.0,balanced,No,0.01,False
Class,Alkaloids and derivatives,Yes,None,gini,13,Yes,1,uniform,euclidean,No,none,,,False,balanced,sag,multinomial,No,l1,100.0,balanced,No,0.0001,False
Class,Benzenoids,Yes,balanced_subsample,entropy,34,Yes,1,uniform,euclidean,No,none,,,False,balanced,sag,multinomial,No,l1,100.0,balanced,No,1.0,False
Class,Homogeneous metal compounds,No,None,gini,1,No,1,uniform,manhattan,No,elasticnet,100.0,0.75,True,balanced,saga,multinomial,No,l2,100.0,balanced,No,1e-05,False
Class,Homogeneous non-metal compounds,No,balanced_subsample,entropy,20,No,4,distance,cosine,No,none,,,True,balanced,sag,ovr,Yes,l1,100.0,balanced,No,1e-05,False
Class,Hydrocarbon derivatives,Yes,balanced,gini,1,Yes,2,uniform,manhattan,Yes,none,,,True,None,sag,multinomial,No,l2,0.01,balanced,No,1e-05,True
Class,Hydrocarbons,No,balanced,entropy,110,Yes,4,uniform,manhattan,No,l1,100.0,,True,balanced,saga,multinomial,No,l1,100.0,balanced,No,0.0001,True
Class,"Lignans, neolignans and related compounds",No,None,entropy,100,No,4,distance,cosine,No,l1,100.0,,False,balanced,saga,ovr,No,l2,100.0,balanced,No,0.001,False
Class,Lipids and lipid-like molecules,Yes,None,entropy,23,Yes,2,uniform,euclidean,No,none,,,False,None,sag,multinomial,No,l2,100.0,balanced,Yes,0.1,False
Class,Mixed metal/non-metal compounds,No,None,gini,7,Yes,1,uniform,cosine,No,l1,100.0,,False,balanced,saga,multinomial,Yes,l1,10.0,balanced,No,1e-05,False
Class,"Nucleosides, nucleotides, and analogues",Yes,balanced_subsample,entropy,27,No,4,distance,cosine,No,none,,,False,balanced,sag,multinomial,No,l1,100.0,balanced,No,0.1,False
Class,"Organic 1,3-dipolar compounds",No,None,gini,7,No,1,uniform,euclidean,No,elasticnet,10.0,0.75,False,balanced,saga,multinomial,Yes,l1,100.0,None,No,1e-05,False
Class,Organic Polymers,No,None,gini,1,No,1,uniform,manhattan,No,l1,1.0,,True,balanced,saga,ovr,No,l1,0.1,balanced,Yes,1.0,False
Class,Organic acids and derivatives,Yes,None,entropy,26,Yes,4,distance,manhattan,No,elasticnet,10.0,0.5,False,balanced,saga,multinomial,No,l1,100.0,balanced,No,1e-05,False
Class,Organic oxygen compounds,Yes,balanced,entropy,16,No,3,distance,cosine,No,l1,10.0,,False,None,saga,multinomial,No,l1,1.0,balanced,No,1e-05,True
Class,Organohalogen compounds,No,None,gini,2,Yes,2,distance,cosine,No,none,,,False,None,sag,multinomial,No,l1,100.0,balanced,No,1e-05,True
Class,Organoheterocyclic compounds,No,balanced_subsample,entropy,100,Yes,12,distance,cosine,No,none,,,False,balanced,sag,multinomial,No,l1,100.0,balanced,No,0.001,False
Class,Organometallic compounds,No,None,entropy,50,No,3,distance,manhattan,Yes,l2,0.01,,False,balanced,sag,ovr,No,l1,10.0,None,No,1e-05,False
Class,Organophosphorus compounds,No,balanced,gini,7,No,16,distance,cosine,No,l1,100.0,,False,balanced,saga,ovr,No,l1,100.0,None,No,1e-05,False
Class,Organosulfur compounds,Yes,balanced,entropy,20,Yes,7,distance,manhattan,No,none,,,False,balanced,sag,multinomial,No,l1,100.0,balanced,No,0.001,False
Class,Phenylpropanoids and polyketides,No,None,gini,2,No,2,distance,cosine,No,none,,,False,None,sag,multinomial,No,l1,100.0,balanced,No,0.01,False
Subclass,5'-deoxyribonucleosides,No,None,gini,3,No,16,distance,euclidean,No,l1,10.0,,True,balanced,saga,ovr,No,l1,10.0,None,No,0.01,False
Subclass,Alkali metal oxoanionic compounds,No,balanced,entropy,70,No,3,distance,manhattan,No,elasticnet,100.0,0.75,True,balanced,saga,ovr,No,l1,10.0,balanced,No,1e-05,False
Subclass,Alkali metal salts,No,None,gini,3,Yes,8,uniform,cosine,Yes,elasticnet,1.0,0.5,False,balanced,saga,multinomial,No,l2,0.1,balanced,Yes,1.0,False
Subclass,Alkaline earth metal oxoanionic compounds,No,None,gini,3,No,9,distance,manhattan,Yes,none,,,False,balanced,saga,ovr,No,l1,100.0,balanced,No,1e-05,True
Subclass,Alkyl halides,No,None,gini,1,No,5,distance,manhattan,No,elasticnet,100.0,0.25,True,balanced,saga,multinomial,No,l1,10.0,None,Yes,0.01,True
Subclass,Amaryllidaceae alkaloids,No,balanced_subsample,entropy,20,No,3,uniform,manhattan,Yes,l2,0.01,,True,balanced,sag,multinomial,No,l2,100.0,None,No,1e-05,True
Subclass,Anthracenes,Yes,None,entropy,2,Yes,12,distance,cosine,No,none,,,False,balanced,sag,multinomial,No,l1,10.0,balanced,Yes,1e-05,False
Subclass,Aryl halides,No,None,entropy,1,Yes,1,uniform,manhattan,Yes,elasticnet,100.0,0.25,False,balanced,saga,ovr,No,l2,0.1,balanced,Yes,1e-05,False
Subclass,Azoles,Yes,None,entropy,17,Yes,5,distance,manhattan,No,none,,,False,balanced,saga,multinomial,Yes,l1,100.0,balanced,No,0.1,False
Subclass,Azolidines,Yes,balanced,entropy,13,Yes,3,uniform,manhattan,Yes,none,,,False,balanced,sag,ovr,Yes,l1,100.0,balanced,No,1e-05,False
Subclass,Azolines,Yes,None,entropy,8,Yes,1,uniform,manhattan,No,none,,,False,balanced,sag,multinomial,Yes,l2,100.0,None,Yes,0.1,False
Subclass,Benzazepines,Yes,None,gini,5,Yes,1,uniform,manhattan,No,none,,,False,None,sag,ovr,No,l1,100.0,None,No,0.1,True
Subclass,Benzene and substituted derivatives,No,balanced,entropy,90,Yes,16,distance,cosine,No,none,,,False,balanced,sag,multinomial,No,l1,100.0,balanced,Yes,0.1,True
